ticker,cik,sic,ff12,ff48,ff49,ff_label,sic_desc
WAB,943452,3743.0,3,-1,-1,Manuf,
TSCO,916365,5200.0,9,-1,-1,Shops,
WDS,844551,1311.0,4,-1,-1,Enrgy,
NUE,73309,3312.0,3,-1,-1,Manuf,
SLF,1097362,6311.0,11,-1,-1,Money,
IQV,1478242,8731.0,12,-1,-1,Other,
DD,1666700,2821.0,5,-1,-1,Chems,
EXR,1289490,6798.0,11,-1,-1,Money,
DIDIY,1764757,7389.0,12,-1,-1,Other,
STT,93751,6022.0,11,-1,-1,Money,
GFI,1172724,1040.0,12,-1,-1,Other,
EL,1001250,2844.0,5,-1,-1,Chems,
UI,1511737,3663.0,6,-1,-1,BusEq,
TYHOY,2018139,,12,-1,-1,Other,
WTW,1140536,6411.0,11,-1,-1,Money,
RYAAY,1038683,4512.0,12,-1,-1,Other,
IR,1699150,3560.0,3,-1,-1,Manuf,
KHC,1637459,2030.0,1,-1,-1,NoDur,
HPE,1645590,3570.0,6,-1,-1,BusEq,
VG,2007855,4924.0,8,-1,-1,Utils,
EQT,33213,1311.0,4,-1,-1,Enrgy,
AU,1973832,1040.0,12,-1,-1,Other,
MTB,36270,6022.0,11,-1,-1,Money,
ODFL,878927,4213.0,12,-1,-1,Other,
INSM,1104506,2834.0,10,-1,-1,Hlth,
EFX,33185,7320.0,12,-1,-1,Other,
BRO,79282,6411.0,11,-1,-1,Money,
BBD,1160330,6022.0,11,-1,-1,Money,
VTR,740260,6798.0,11,-1,-1,Money,
DXCM,1093557,3841.0,10,-1,-1,Hlth,
TEF,814052,4813.0,7,-1,-1,Telcm,
AMRZ,2035989,3241.0,3,-1,-1,Manuf,
ADM,7084,2070.0,1,-1,-1,NoDur,
SOFI,1818874,6199.0,11,-1,-1,Money,
WIT,1123799,7371.0,6,-1,-1,BusEq,
CRCL,1876042,6199.0,11,-1,-1,Money,
IX,1070304,6159.0,11,-1,-1,Money,
BR,1383312,7389.0,12,-1,-1,Other,
NRG,1013871,4911.0,8,-1,-1,Utils,
CVE,1475260,1311.0,4,-1,-1,Enrgy,
FUJIY,800365,,12,-1,-1,Other,
KEYS,1601046,3823.0,6,-1,-1,BusEq,
KB,1445930,6029.0,11,-1,-1,Money,
AFRM,1820953,6141.0,11,-1,-1,Money,
WBD,1437107,4841.0,7,-1,-1,Telcm,
IRM,1020569,6798.0,11,-1,-1,Money,
WDC,106040,3572.0,6,-1,-1,BusEq,
VOD,839923,4812.0,7,-1,-1,Telcm,
CLS,1030894,3672.0,6,-1,-1,BusEq,
QSR,1618756,5812.0,9,-1,-1,Shops,
SYF,1601712,6199.0,11,-1,-1,Money,
DTE,936340,4911.0,8,-1,-1,Utils,
WTKWY,861967,,12,-1,-1,Other,
EME,105634,1731.0,12,-1,-1,Other,
AVB,915912,6798.0,11,-1,-1,Money,
ROL,84839,7340.0,12,-1,-1,Other,
VIK,1745201,4400.0,12,-1,-1,Other,
K,55067,2040.0,1,-1,-1,NoDur,
OWL,1823945,6282.0,11,-1,-1,Money,
NTR,1725964,2870.0,5,-1,-1,Chems,
AWK,1410636,4941.0,8,-1,-1,Utils,
KGC,701818,1040.0,12,-1,-1,Other,
WRB,11544,6331.0,11,-1,-1,Money,
LPLA,1397911,6200.0,11,-1,-1,Money,
HPQ,47217,3570.0,6,-1,-1,BusEq,
STLA,1605484,3711.0,2,-1,-1,Durbl,
TW,1758730,6200.0,11,-1,-1,Money,
SYM,1837240,3569.0,3,-1,-1,Manuf,
ERIC,717826,3663.0,6,-1,-1,BusEq,
PHM,822416,1531.0,12,-1,-1,Other,
MDB,1441816,7372.0,6,-1,-1,BusEq,
EXPE,1324424,4700.0,12,-1,-1,Other,
GIS,40704,2040.0,1,-1,-1,NoDur,
AEE,1002910,4931.0,8,-1,-1,Utils,
PHG,313216,3844.0,10,-1,-1,Hlth,
STZ,16918,2080.0,1,-1,-1,NoDur,
MTD,1037646,3826.0,6,-1,-1,BusEq,
HUBS,1404655,7372.0,6,-1,-1,BusEq,
PPL,922224,4911.0,8,-1,-1,Utils,
TTD,1671933,7370.0,6,-1,-1,BusEq,
ATO,731802,4924.0,8,-1,-1,Utils,
KBGGY,1535759,8880.0,12,-1,-1,Other,
EQR,906107,6798.0,11,-1,-1,Money,
FUTU,1754581,6211.0,11,-1,-1,Money,
FIG,1579878,7372.0,6,-1,-1,BusEq,
VLTO,1967680,3825.0,6,-1,-1,BusEq,
CQP,1383650,4924.0,8,-1,-1,Utils,
PSTG,1474432,3572.0,6,-1,-1,BusEq,
CRDO,1807794,3674.0,6,-1,-1,BusEq,
HBAN,49196,6021.0,11,-1,-1,Money,
MT,1243429,3312.0,3,-1,-1,Manuf,
TOST,1650164,7374.0,6,-1,-1,BusEq,
VRSN,1014473,7371.0,6,-1,-1,BusEq,
TDY,1094285,3812.0,6,-1,-1,BusEq,
FE,1031296,4911.0,8,-1,-1,Utils,
FIX,1035983,1731.0,12,-1,-1,Other,
TU,868675,4812.0,7,-1,-1,Telcm,
FOXA,1754301,4833.0,7,-1,-1,Telcm,
PODD,1145197,3841.0,10,-1,-1,Hlth,
FCNCA,798941,6022.0,11,-1,-1,Money,
PINS,1506293,7370.0,6,-1,-1,BusEq,
PUBGY,1050952,7311.0,12,-1,-1,Other,
DSFIY,1989183,,12,-1,-1,Other,
IP,51434,2621.0,3,-1,-1,Manuf,
DRI,940944,5812.0,9,-1,-1,Shops,
NOK,924613,3663.0,6,-1,-1,BusEq,
PPG,79879,2851.0,5,-1,-1,Chems,
FTS,1666175,4911.0,8,-1,-1,Utils,
NTAP,1002047,3572.0,6,-1,-1,BusEq,
NTRS,73124,6022.0,11,-1,-1,Money,
SW,2005951,2650.0,3,-1,-1,Manuf,
BNTX,1776985,2836.0,10,-1,-1,Hlth,
GELHY,1474968,,12,-1,-1,Other,
CNP,1130310,4911.0,8,-1,-1,Utils,
ZM,1585521,7370.0,6,-1,-1,BusEq,
PTC,857005,7372.0,6,-1,-1,BusEq,
MKL,1096343,6331.0,11,-1,-1,Money,
LI,1791706,3711.0,2,-1,-1,Durbl,
